infinitief,vertaling,toelichting,test
zijn,être,,0
hebben,avoir,prononciation du h/s'appeler est un verbe réflèchi mais pas en néerlandais,0
heten,s’appeler,he/ten (1 voyelle dans une syllabe ouverte)/heet (2v dans une syllabe fermée) : le son reste long,0
vergetten,oublier,,0
komen,venir,komen=>ik kom (exception),0
leren,apprendre,,0
zeggen,dire,,0
parkeren,parquer,,0
liggen,coucher,,0
geboren worden,naître,,0
spreken,parler,spre/ken (1V dans une syllabe ouverte)/spreek (2 voyelles dans une syllabe fermée : le son reste long),0
kunnen,capacité,,0
mogen,permission,Mag ik/puis-je avoir (permission),0
onderzoeken,examiner,,0
verdienen,gagner de l'argent,,0
winnen,gagner,,0
rekenen,compter/calculer,,0
schrijven,écrire,V->F,0
lezen,lire,Z>S/le/zen (1 voyelle dans une syllabe ouverte)/lees je (2 v dans une syllabe fermée : le son reste long),0
gaan,aller,,0
werken,travailler,,0
zich voor/stellen,se présenter,,0
in/vullen,remplir,in:particule séparable,0
zich in/schrijven,s'inscrire,Hij/ze/… schrijft zich in voor een cursus Frans,0
zich voelen,se sentir,Ze voelt zich niet goed/Ik voel me niet goed = ik ben een beetje ziek,0
schrappen,biffer,,0
willen,vouloir,,0
weten,savoir,ik weet het niet,0
geven,donner,,0
uitnodigen,inviter,,0
af/slaan,refuser,Aan de verkeerslichten voor de post sla je rechts af.,0
over/steken,traverser,Je steekt dan de straat over en daarna loop je rechtdoor tot het kruispunt.,0
af/staan,céder/abandonner,,0
wonen,habiter,wo/nen (1V dans une syllabe ouverte)/ik woon (2V dans une syllabe fermée),0
luisteren naar,écouter (à),,0
herkennen,reconnaître,,0
afhangen van,dépendre de,het hangt ervan af (cela dépend),0
vertreken,partir,,0
aan/komen,arriver,,0
terug/komen,revenir,,0
gooiën,jeter,gooi wat in mijn schoentje/laarste,0
klinken,sonner,dat klinkt als …,0
rekenen,calculer,,0
aftrekken,soustraire,,0
ontwikkelen,développer,,0
antwoorden,répondre,antwoord op de vraag (répondez à la question)/een vraag stellen (poser une question),0
vragen,demander,,0
verwittigen,prévenir,,0
zorgen voor,prendre soin de/s’occuper de,Zorg voor jezelf. Zorg voor de anderen,0
raadplegen,consulter,,0
langs/komen,passer,dan kom ik vanavond even langs,0
drinken,boire,,0
eten,manger,,0
op café gaan/iets ga,aller au café, caféken,0
af/spreken,convenir ou fixer un rdv,,0
herdenken,commémorer,,0
denken,penser,,0
vechten,se battre,,0
volgen,suivre,hij volgt Annie naar de conferentiekamer,0
uit/nodigen,inviter,Zaterdag geef ik een feestje. Ik nodig je uit.,0
fietsen,faire du vélo,fiets jij bijna elke dag ?,0
kiezen,choisir,Wij kiezen voor een groot feest.,0
betalen,payer,mijn man betaalt nooit!,0
blijven,rester,jullie blijven vannacht slapen.,0
verliezen,perdre,zij verliest altijd bij Scrabble.,0
vergeten,oublier,ik vergeet altijd de vuilbak buiten te zetten.,0
trouwen,épouser,joepie! Wij trouwen binnenkort.,0
slapen,dormir,hij slaapt altijd heel land.,0
kopen,acheter,morgen koop ik die CD van Eels.,0
kennen,savoir,ken je de theorie van Socrates ?,0
lopen,marcher,jij loopt wel heel erg snel !,0
redden,sauver/sauvegarder,de brandweerman redt de kat uit de boom.,0
sturen,envoyer,u stuurt niet goed.,0
bieden,offrir,biedt u ons een drankje aan ?,0
overtreden,transgresser,overtreed jij soms de wet ?,0
kleden,s'habiller,hij kleedt zijn kinderen elke ochtend.,0
durven,oser,dat meisje duurft de straat niet oversteken./mijn moeder duurft niet springen.,0
koken,cuisiner,s Avonds koken we samen.,0
rijden,chevaucher,ik rijd graag met de auto.,0
zien,voir,zie je die lichtjes daar ?,0
reizen,voyager,ik reis graag met de auto.,0